SKU,对应供应商编码
VC001,LY69 
VC002,LY68
VC003,LY62
VC004,LY61
VC005,LY54
VC006,LY53
VC007,LY48
VC008,LY47
VC009,LY45
VC010,LY44
VC011,LY43
VC012,LY42
VC013,LY02
VC014,LY01
VC015,LY11
VC016,LY12
VC017,VC969
VC018,VC259
VC019,VC260
VC020,VC461
VC021,VC168
VC022,VC462
VC023,VC167
VC024,VC165
VC025,VC166
VC026,VC872
VC027,VC279
VC028,VC480
VC029,LY64
VC030,LY65
VC031,LY66
VC032,LY51
VC033,LY52
VC034,LY36
VC035,LY35
VC036,LY27
VC037,LY28
VC038,LY56
VC039,LY57
VC040,LY40
VC041,VC603
VC042,VC905
VC043,VC906
VC044,VC607
VC045,VC610
VC046,VC773
VC047,VC791
VC048,VC923
VC049,VC919
VC050,LY10
VC051,LY30
VC052,VC625
VC053,VC627
VC054,VC626
VC055,LY24
VC056,LY25
VC057,LY17
VC058,LY37
VC059,VC431
VC060,VC432
VC061,VC433
VC062,VC440
VC063,VC635
VC064,VC729
VC065,VC930
VC066,LY32
VC067,LY07
VC068,LY887
VC069,LY888
VC070,LY22
VC071,LY55
VC072,LY38
VC073,QR35
VC074,VC276
VC075,LY08
VC076,LY09
VC077,QR114
VC078,QR117
VC079,LY29
VC080,QR128
VC081,VD15
VC082,VC422
VC083,VC220
VC084,LY20
VC085,LY26
VC086,VC939
VC087,VD01
VC088,VD02
VC089,VD03
VC090,VD04
VC091,VD10
VC092,VD14
VC093,VD21
VC094,VD31
VC095,VD35
VC096,VD36
VC097,VD37
VC098,VD49
VC099,VD50
VC100,VD51
VC101,VDP06
VC102,VDP59
VC103,VDP43
VC104,VDP01
VC105,LY33
VC106,LY41
VC107,LY49
VC108,LY58
VC109,LY59
VC110,LY84
VC111,LY85
VC112,LY86
VC113,VC150
VC114,VC151
VC115,VC349
